,Player,Team,TW,TL,Age,Salary,PTS,GP,FG%,3P%,FT%,REB,AST,STL,BLK,DD2,TD3
293,Nassir Little,POR,33,49,23.0,4171548.0,6.6,54.0,44.2,36.7,71.7,2.6,0.9,0.4,0.4,0.0,0.0
294,Drew Eubanks,POR,33,49,26.0,1968175.0,6.6,78.0,64.1,38.9,66.4,5.4,1.3,0.5,1.3,3.0,0.0
295,Jock Landale,PHX,45,37,27.0,1563518.0,6.6,69.0,52.8,25.0,75.2,4.1,1.0,0.2,0.4,3.0,0.0
296,Mo Bamba,LAL,43,39,25.0,10300000.0,6.6,49.0,48.5,38.7,66.1,4.6,0.9,0.3,0.9,2.0,0.0
297,Kevin Knox II,POR,33,49,23.0,,6.6,63.0,45.8,34.9,76.7,2.8,0.5,0.4,0.2,2.0,0.0
298,Jordan Goodwin,WAS,35,47,24.0,1280206.0,6.6,62.0,44.8,32.2,76.8,3.3,2.7,0.9,0.4,0.0,0.0
299,Cody Zeller,MIA,44,38,30.0,743922.0,6.5,15.0,62.7,0.0,68.6,4.3,0.7,0.2,0.3,0.0,0.0
300,Brandon Boston Jr.,LAC,44,38,21.0,,6.5,22.0,41.8,41.4,76.3,1.4,0.9,0.4,0.0,0.0,0.0
301,Jay Scrubb,ORL,34,48,22.0,49719.0,6.5,2.0,71.4,100.0,50.0,3.0,0.5,1.0,0.0,0.0,0.0
302,Luka Garza,MIN,42,40,24.0,508891.0,6.5,28.0,54.3,35.9,78.8,2.3,0.6,0.1,0.1,0.0,0.0
303,Isaac Okoro,CLE,51,31,22.0,7040880.0,6.4,76.0,49.4,36.3,75.7,2.5,1.1,0.7,0.4,0.0,0.0
304,R.J. Hampton,DET,17,65,22.0,,6.4,47.0,43.0,35.3,75.0,1.9,1.1,0.6,0.2,0.0,0.0
305,JaMychal Green,GSW,44,38,33.0,8200000.0,6.4,57.0,54.0,37.8,77.6,3.6,0.9,0.4,0.4,0.0,0.0
306,Sam Hauser,BOS,57,25,25.0,1637966.0,6.4,80.0,45.5,41.8,70.6,2.6,0.9,0.4,0.3,0.0,0.0
307,Duncan Robinson,MIA,44,38,29.0,16902000.0,6.4,42.0,37.1,32.8,90.6,1.6,1.1,0.3,0.0,0.0,0.0
308,Dario Saric,OKC,40,42,29.0,9240000.0,6.4,57.0,45.8,39.1,82.9,3.6,1.3,0.4,0.1,2.0,0.0
309,Simone Fontecchio,UTA,37,45,27.0,3205128.0,6.3,52.0,36.9,33.0,79.5,1.7,0.8,0.3,0.2,0.0,0.0
310,Goran Dragic,MIL,58,24,37.0,3523762.0,6.3,58.0,42.1,35.9,68.9,1.4,2.6,0.2,0.1,0.0,0.0
311,Quenton Jackson,WAS,35,47,24.0,219630.0,6.2,9.0,45.2,8.3,77.3,0.9,1.7,0.4,0.1,0.0,0.0
312,Patrick Beverley,CHI,40,42,34.0,13801614.0,6.2,67.0,40.0,33.5,72.3,3.7,2.9,0.9,0.6,2.0,0.0
313,Jared Butler,OKC,40,42,22.0,1674655.0,6.2,6.0,46.9,50.0,0.0,0.7,1.3,0.8,0.0,0.0,0.0
314,Nickeil Alexander-Walker,MIN,42,40,24.0,5009633.0,6.2,59.0,44.4,38.4,66.7,1.7,1.8,0.5,0.4,0.0,0.0
315,Patty Mills,BKN,45,37,34.0,,6.2,40.0,41.1,36.6,83.3,1.1,1.4,0.4,0.1,0.0,0.0
316,Nicolas Batum,LAC,44,38,34.0,19700319.0,6.1,78.0,42.0,39.1,70.8,3.8,1.6,0.7,0.6,0.0,0.0
317,Oshae Brissett,IND,35,47,25.0,1846738.0,6.1,65.0,38.6,31.0,71.7,3.4,0.7,0.5,0.2,1.0,0.0
318,Sandro Mamukelashvili,SAS,22,60,24.0,1116112.0,6.1,43.0,42.2,30.3,68.4,4.3,1.4,0.3,0.3,2.0,0.0
319,Evan Fournier,NYK,47,35,30.0,18000000.0,6.1,27.0,33.7,30.7,85.7,1.8,1.3,0.6,0.1,0.0,0.0
320,Mike Muscala,BOS,57,25,31.0,3500000.0,6.1,63.0,44.9,39.1,76.9,3.2,0.8,0.2,0.4,0.0,0.0
321,Saben Lee,PHX,45,37,24.0,2266640.0,6.0,25.0,40.5,36.7,73.7,1.8,2.7,0.8,0.0,1.0,0.0
322,Robert Covington,LAC,44,38,32.0,12307692.0,6.0,48.0,44.5,39.7,75.0,3.5,1.2,0.8,0.7,0.0,0.0
323,Andre Drummond,CHI,40,42,29.0,3200000.0,6.0,67.0,60.6,0.0,53.6,6.6,0.5,0.7,0.4,8.0,0.0
324,Maxi Kleber,DAL,38,44,31.0,9000000.0,5.9,37.0,45.6,34.8,71.1,3.6,1.4,0.3,0.8,0.0,0.0
325,Jaylin Williams,OKC,40,42,21.0,2000000.0,5.9,49.0,43.6,40.7,70.4,4.9,1.6,0.6,0.2,0.0,0.0
326,Johnny Davis,WAS,35,47,21.0,4810320.0,5.8,28.0,38.6,24.3,51.9,2.3,1.0,0.4,0.3,0.0,0.0
327,Josh Christopher,HOU,22,60,21.0,2372160.0,5.8,64.0,46.5,23.6,75.0,1.1,1.1,0.5,0.2,0.0,0.0
328,Stanley Johnson,SAS,22,60,27.0,4022164.0,5.8,30.0,53.3,45.0,66.7,3.2,2.2,0.5,0.2,0.0,0.0
329,Rodney McGruder,DET,17,65,31.0,2298385.0,5.7,32.0,40.8,42.3,81.8,2.3,0.9,0.5,0.0,0.0,0.0
330,Charles Bassey,SAS,22,60,22.0,2674742.0,5.7,35.0,64.4,37.5,59.5,5.5,1.4,0.5,0.9,0.0,0.0
331,Ziaire Williams,MEM,51,31,21.0,4591680.0,5.7,37.0,42.9,25.8,77.3,2.1,0.9,0.4,0.2,0.0,0.0
332,Jalen Johnson,ATL,41,41,21.0,2792640.0,5.6,70.0,49.1,28.8,62.8,4.0,1.2,0.5,0.5,1.0,0.0
333,Derrick Rose,NYK,47,35,34.0,14520730.0,5.6,27.0,38.4,30.2,91.7,1.5,1.7,0.3,0.2,0.0,0.0
334,Davion Mitchell,SAC,48,34,24.0,4833600.0,5.6,80.0,45.4,32.0,80.6,1.3,2.3,0.6,0.2,0.0,0.0
335,Payton Pritchard,BOS,57,25,25.0,2239200.0,5.6,48.0,41.2,36.4,75.0,1.8,1.3,0.3,0.0,1.0,1.0
336,James Bouknight,CHA,27,55,22.0,4362240.0,5.6,34.0,35.8,30.3,66.7,2.1,1.2,0.4,0.1,0.0,0.0
337,Montrezl Harrell,PHI,54,28,29.0,2463490.0,5.6,57.0,59.8,0.0,69.3,2.8,0.6,0.3,0.4,1.0,0.0
338,Alex Caruso,CHI,40,42,29.0,9030000.0,5.6,67.0,45.5,36.4,80.8,2.9,2.9,1.5,0.7,1.0,0.0
339,Yuta Watanabe,BKN,45,37,28.0,1968175.0,5.6,58.0,49.1,44.4,72.3,2.4,0.8,0.4,0.3,0.0,0.0
340,Danny Green,CLE,51,31,36.0,11710528.0,5.5,11.0,44.9,43.2,100.0,1.3,0.5,0.5,0.3,0.0,0.0
341,Jarrell Brantley,UTA,37,45,27.0,105522.0,5.5,4.0,57.1,44.4,100.0,1.5,0.8,0.0,0.5,0.0,0.0
342,Otto Porter Jr.,TOR,41,41,30.0,,5.5,8.0,50.0,35.3,100.0,2.4,1.0,1.4,0.0,0.0,0.0
343,Wenyen Gabriel,LAL,43,39,26.0,1878720.0,5.5,68.0,59.6,27.8,61.9,4.2,0.5,0.4,0.5,0.0,0.0
